Observation URI,refArea,Percentage of cases out of national total ,structure,Existence of chronic diseases - Hypertension,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,dataset,Existence of chronic diseases - Diabetes 
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aana,Western_Beqaa_District,2e-02,nan,1,0,Aana,199,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aandqet,Akkar_Governorate,4e-02,nan,1,0,Aandqet,390,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanjar+%28Haouch+Moussa%29,ZahlÃ©_District,4e-02,nan,1,0,Aanjar (Haouch Moussa),417,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanout,Mount_Lebanon_Governorate,5e-02,nan,1,0,Aanout,534,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanqoun,Sidon_District,9e-02,nan,1,0,Aanqoun,962,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaouaainat+Aakkar,Akkar_Governorate,0e+00,nan,1,0,Aaouaainat Aakkar,25,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaqabet+Rachaya,Beqaa_Governorate,2e-02,nan,1,0,Aaqabet Rachaya,259,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaqaibeh+Kesrouane,Keserwan_District,9e-02,nan,1,0,Aaqaibeh Kesrouane,915,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaqtanit,Sidon_District,1e-02,nan,1,0,Aaqtanit,99,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarab+Ej-Jall,Sidon_District,0e+00,nan,0,0,Aarab Ej-Jall,1,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarab+Salim,Nabatieh_Governorate,1e-01,nan,1,0,Aarab Salim,1061,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarab+Tabbaya,Sidon_District,0e+00,nan,1,0,Aarab Tabbaya,3,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaraiya,Baabda_District,6e-02,nan,1,0,Aaraiya,639,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaramoun+Kesrouane,Aley_District,3.5e-01,nan,1,0,Aaramoun Kesrouane,3701,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaramta,South_Governorate,2e-02,nan,1,0,Aaramta,179,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaray,South_Governorate,1e-02,nan,1,0,Aaray,111,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarbaniyeh,Baabda_District,0e+00,nan,0,0,Aarbaniyeh,45,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarbet+Qozhaiya,Zgharta_District,0e+00,nan,1,0,Aarbet Qozhaiya,6,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarjis,Zgharta_District,0e+00,nan,1,0,Aarjis,27,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarqa,Akkar_Governorate,1e-02,nan,0,0,Aarqa,151,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aarsal,Baalbek-Hermel_Governorate,7e-02,nan,1,0,Aarsal,757,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aassoun,MiniyehâDanniyeh_District,1e-02,nan,1,0,Aassoun,107,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aatchaneh,Matn_District,3e-02,nan,1,0,Aatchaneh,330,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aathrine,Mount_Lebanon_Governorate,1e-02,nan,1,0,Aathrine,65,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaychiyeh,South_Governorate,0e+00,nan,1,0,Aaychiyeh,4,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayha,Beqaa_Governorate,0e+00,nan,1,0,Aayha,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaymar,MiniyehâDanniyeh_District,0e+00,nan,1,0,Aaymar,6,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaynab,Aley_District,0e+00,nan,0,0,Aaynab,5,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaynata+Baalbek,Baalbek-Hermel_Governorate,1e-02,nan,1,0,Aaynata Baalbek,53,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaynata+Bent+Jbeil,Bint_Jbeil_District,4e-02,nan,1,0,Aaynata Bent Jbeil,447,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayoun+Aakkar,Akkar_Governorate,0e+00,nan,1,0,Aayoun Aakkar,6,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayoun+El-Ghizlane,Akkar_Governorate,0e+00,nan,1,0,Aayoun El-Ghizlane,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayoun+El-Matn,Matn_District,0e+00,nan,1,0,Aayoun El-Matn,4,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayroun,Matn_District,0e+00,nan,1,0,Aayroun,42,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayta+Ech-Chaab,Bint_Jbeil_District,6e-02,nan,1,0,Aayta Ech-Chaab,618,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aayta+El-Foukhar,Beqaa_Governorate,1e-02,nan,1,0,Aayta El-Foukhar,107,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaytanit,Western_Beqaa_District,1e-02,nan,1,0,Aaytanit,58,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaytat,Aley_District,2e-02,nan,1,0,Aaytat,239,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaytit,Tyre_District,1.1e-01,nan,1,0,Aaytit,1130,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aazour,South_Governorate,0e+00,nan,1,0,Aazour,48,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aazqai,MiniyehâDanniyeh_District,0e+00,nan,1,0,Aazqai,24,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aazra+ouel+Aazr,Keserwan_District,0e+00,nan,1,0,Aazra ouel Aazr,21,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aazzi,Nabatieh_Governorate,0e+00,nan,0,0,Aazzi,7,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ablah,ZahlÃ©_District,8e-02,nan,1,0,Ablah,821,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Abou+Mizan,Matn_District,0e+00,nan,0,0,Abou Mizan,3,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Abou+Qamha,Hasbaya_District,0e+00,nan,1,0,Abou Qamha,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Adma+Oua+Dafine,Keserwan_District,1.8e-01,nan,0,0,Adma Oua Dafine,1897,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Adonis,Byblos_District,0e+00,nan,0,0,Adonis,16,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Afqa+Jbeil,Byblos_District,0e+00,nan,1,0,Afqa Jbeil,11,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ain+Aakrine,North_Governorate,1e-02,nan,1,0,Ain Aakrine,123,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aintoura+El-Matn,Matn_District,2e-02,nan,0,0,Aintoura El-Matn,258,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aintoura+Kesrouane,Keserwan_District,7e-02,nan,1,0,Aintoura Kesrouane,765,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aintourine,Zgharta_District,0e+00,nan,1,0,Aintourine,6,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aitaroun,Bint_Jbeil_District,0e+00,nan,0,0,Aitaroun,16,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Alaq,Baalbek-Hermel_Governorate,0e+00,nan,1,0,Alaq,4,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Almat,Byblos_District,0e+00,nan,0,1,Almat,1,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Amara,Akkar_Governorate,0e+00,nan,1,0,Amara,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Amioun,North_Governorate,9e-02,nan,1,0,Amioun,979,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Anane,South_Governorate,1e-02,nan,1,0,Anane,94,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ansar,Nabatieh_Governorate,1.6e-01,nan,1,0,Ansar,1689,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ansar+Baalbeck,Baalbek-Hermel_Governorate,0e+00,nan,0,0,Ansar Baalbeck,3,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Antelias-Naccache,Matn_District,3.9e-01,nan,0,1,Antelias-Naccache,4123,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Arnoun,Nabatieh_Governorate,1e-02,nan,1,0,Arnoun,97,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Arsoun,Baabda_District,1e-02,nan,1,0,Arsoun,109,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Arzai,Sidon_District,3e-02,nan,1,0,Arzai,336,1,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Arzoun,Tyre_District,2e-02,nan,1,0,Arzoun,231,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Asnoun,Zgharta_District,0e+00,nan,1,0,Asnoun,9,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Assia,Batroun_District,1e-02,nan,1,0,Assia,54,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Ayto,Zgharta_District,0e+00,nan,1,0,Ayto,2,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baabda-Louaizi,Baabda_District,1e+00,nan,0,0,Baabda-Louaizi,10601,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baabdat,Matn_District,9e-02,nan,0,0,Baabdat,965,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baadarane,Mount_Lebanon_Governorate,1e-02,nan,1,0,Baadarane,118,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baalbek,Baalbek-Hermel_Governorate,1.33e+00,nan,1,0,Baalbek,14051,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baalchmay,Baabda_District,3e-02,nan,0,0,Baalchmay,267,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baaloul+West+Bekaa,Western_Beqaa_District,3e-02,nan,1,0,Baaloul West Bekaa,345,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baaouerta,Aley_District,3e-02,nan,1,0,Baaouerta,267,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baaqline,Mount_Lebanon_Governorate,1.6e-01,nan,1,0,Baaqline,1667,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baassir,Mount_Lebanon_Governorate,5e-02,nan,1,0,Baassir,556,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bab+Mareaa,Western_Beqaa_District,0e+00,nan,1,0,Bab Mareaa,10,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Babliyeh,Sidon_District,7e-02,nan,1,0,Babliyeh,739,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Badbhoun,North_Governorate,0e+00,nan,0,0,Badbhoun,2,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baghdadi,Akkar_Governorate,0e+00,nan,1,0,Baghdadi,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bahbouch,North_Governorate,1e-02,nan,1,0,Bahbouch,66,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baisour,Aley_District,9e-02,nan,1,0,Baisour,993,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baisour+Jezzine,South_Governorate,0e+00,nan,1,0,Baisour Jezzine,10,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bakhaaoun,MiniyehâDanniyeh_District,1.5e-01,nan,1,0,Bakhaaoun,1555,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bakka,Beqaa_Governorate,0e+00,nan,1,0,Bakka,44,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bakkifac+Rachaya,Beqaa_Governorate,0e+00,nan,1,0,Bakkifac Rachaya,50,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Balloune,Keserwan_District,2.2e-01,nan,1,0,Balloune,2370,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bane,Bsharri_District,0e+00,nan,1,0,Bane,21,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bany+haiyane,Marjeyoun_District,0e+00,nan,1,0,Bany haiyane,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baouchriyeh+el+Sad,Matn_District,1.03e+00,nan,0,0,Baouchriyeh el Sad,10840,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baraachit,Bint_Jbeil_District,6e-02,nan,0,0,Baraachit,589,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Barghoun,North_Governorate,0e+00,nan,1,0,Barghoun,8,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Barja,Mount_Lebanon_Governorate,3.9e-01,nan,1,0,Barja,4106,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Barqa,Baalbek-Hermel_Governorate,1e-02,nan,0,0,Barqa,91,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Barr+Elias,ZahlÃ©_District,2.8e-01,nan,1,0,Barr Elias,2982,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Barsa,North_Governorate,5e-02,nan,1,0,Barsa,572,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Basateen+Aakar,Akkar_Governorate,0e+00,nan,0,1,Basateen Aakar,0,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Baskinta,Matn_District,7e-02,nan,1,0,Baskinta,705,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bater,Mount_Lebanon_Governorate,3e-02,nan,0,0,Bater,272,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Batha,Keserwan_District,1e-02,nan,1,0,Batha,105,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Batloun,Mount_Lebanon_Governorate,4e-02,nan,1,0,Batloun,422,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Batoulay,Tyre_District,6e-02,nan,1,0,Batoulay,593,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Batroumine,North_Governorate,2e-02,nan,1,0,Batroumine,181,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Batroun,Batroun_District,1.6e-01,nan,1,0,Batroun,1692,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bayzoun,Byblos_District,0e+00,nan,1,0,Bayzoun,1,0,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bazaaoun,Bsharri_District,0e+00,nan,0,1,Bazaaoun,47,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bazouriyeh,Tyre_District,2.1e-01,nan,1,0,Bazouriyeh,2203,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bchamoun,Aley_District,5.3e-01,nan,0,0,Bchamoun,5620,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bchannine,Zgharta_District,0e+00,nan,1,0,Bchannine,4,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bcharreh,Bsharri_District,8e-02,nan,1,0,Bcharreh,804,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bcheaali,Batroun_District,0e+00,nan,1,0,Bcheaali,13,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bchtfine,Mount_Lebanon_Governorate,1e-02,nan,1,0,Bchtfine,59,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bdadoun,Aley_District,3e-02,nan,1,0,Bdadoun,314,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bdebba,North_Governorate,1e-02,nan,1,0,Bdebba,96,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bebnine,Akkar_Governorate,9e-02,nan,1,0,Bebnine,924,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bechmizzine,North_Governorate,2e-02,nan,1,0,Bechmizzine,228,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bechouat,Baalbek-Hermel_Governorate,1e-02,nan,1,0,Bechouat,115,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bechtoudar,Batroun_District,0e+00,nan,1,0,Bechtoudar,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beddaoui,"Tripoli_District,_Lebanon",1.9e-01,nan,0,0,Beddaoui,2032,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bedghan+Oua+Ouadi+Bedghan,Aley_District,1e-02,nan,1,0,Bedghan Oua Ouadi Bedghan,115,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bedias,Tyre_District,3e-02,nan,0,0,Bedias,347,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bednayel+El-Koura,North_Governorate,0e+00,nan,1,0,Bednayel El-Koura,18,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Behdaydat,Byblos_District,0e+00,nan,1,0,Behdaydat,23,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Behnine,South_Governorate,0e+00,nan,1,0,Behnine,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Behouaita,MiniyehâDanniyeh_District,0e+00,nan,1,0,Behouaita,3,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beino,Akkar_Governorate,0e+00,nan,1,0,Beino,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Ayoub,Akkar_Governorate,1e-02,nan,1,0,Beit Ayoub,54,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Chama,Baalbek-Hermel_Governorate,3e-02,nan,1,0,Beit Chama,294,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Chlala,Batroun_District,0e+00,nan,0,1,Beit Chlala,24,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Ed-Dine,Mount_Lebanon_Governorate,0e+00,nan,1,0,Beit Ed-Dine,3,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+El+Haj,Akkar_Governorate,1e-02,nan,1,0,Beit El Haj,61,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+El-Faqs,MiniyehâDanniyeh_District,1e-02,nan,1,0,Beit El-Faqs,73,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+El-Haouch,Akkar_Governorate,0e+00,nan,0,0,Beit El-Haouch,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+El-Kekko,Matn_District,2e-01,nan,1,0,Beit El-Kekko,2085,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Haouik,MiniyehâDanniyeh_District,0e+00,nan,1,0,Beit Haouik,1,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Hbaq,Byblos_District,1e-02,nan,1,0,Beit Hbaq,60,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Kassab,Batroun_District,0e+00,nan,0,0,Beit Kassab,0,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Lahia,Beqaa_Governorate,0e+00,nan,1,0,Beit Lahia,25,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Lif,Bint_Jbeil_District,8e-02,nan,1,0,Beit Lif,818,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Mellat,Akkar_Governorate,1e-02,nan,1,0,Beit Mellat,57,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Meri,Matn_District,1.1e-01,nan,1,0,Beit Meri,1214,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Monzer,Bsharri_District,0e+00,nan,0,0,Beit Monzer,0,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Obeid,Zgharta_District,1e-01,nan,0,1,Beit Obeid,1048,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Yahoun,Bint_Jbeil_District,0e+00,nan,0,0,Beit Yahoun,4,0,Health_Status-Lebanon-2023,0
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Beit+Younes,Akkar_Governorate,1e-02,nan,1,0,Beit Younes,63,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bejjeh,Byblos_District,1e-02,nan,1,0,Bejjeh,103,1,Health_Status-Lebanon-2023,1
http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Bekhaaz,Byblos_District,0e+00,nan,1,0,Bekhaaz,4,1,Health_Status-Lebanon-2023,1
